what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1426081433094
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1426081433120
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1426081433133
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1426081433190
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1426081433230
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1426081433252
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1426081433348
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1426081433403
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1426081433423
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1426081433538
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1426081433573
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1426081433573
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1426081433587
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1426081433608
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1426081433608
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1426081433765
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1426081433873
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1426081433937
os,sysinfo,,,"win32",1426081433943
arch,sysinfo,,,"x86",1426081433943
ws,sysinfo,,,"win32",1426081433943
locale,sysinfo,,,"zh_CN",1426081433943
processors,sysinfo,,,"2",1426081433943
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1426081433943
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1426081433943
java.specification.name,sysinfo,,,"Java Platform API Specification",1426081433943
java.specification.vendor,sysinfo,,,"Oracle Corporation",1426081433943
java.specification.version,sysinfo,,,"1.7",1426081433943
java.vendor,sysinfo,,,"Oracle Corporation",1426081433943
java.version,sysinfo,,,"1.7.0_01",1426081433943
java.vm.info,sysinfo,,,"mixed mode",1426081433943
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1426081433943
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1426081433943
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1426081433943
java.vm.specification.version,sysinfo,,,"1.7",1426081433943
java.vm.vendor,sysinfo,,,"Oracle Corporation",1426081433943
java.vm.version,sysinfo,,,"21.1-b02",1426081433943
